Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
3/7/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
3/6/2017,Epic: Cassiopeia,Epic: Cassiopeia,2.75,debit,Epic Meal,Bank of America ,,
3/6/2017,Epic: Farmers' Market,Epic: Farmers' Market,4,debit,Epic Meal,Bank of America ,,
3/3/2017,Epic: Cassiopeia,Epic: Cassiopeia,3.75,debit,Epic Meal,Bank of America ,,
3/3/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
3/2/2017,Epic: Farmers' Market,Epic: Farmers' Market,3.25,debit,Epic Meal,Bank of America ,,
3/2/2017,Epic: King's Cross,Epic: King's Cross,6,debit,Epic Meal,Bank of America ,,
3/1/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
3/1/2017,Epic: King's Cross,Epic: King's Cross,5.25,debit,Epic Meal,Bank of America ,,
2/28/2017,Epic: Black Dragon,Epic: Black Dragon,1,debit,Epic Meal,Bank of America ,,
2/28/2017,Epic: Cassiopeia,Epic: Cassiopeia,3.25,debit,Epic Meal,Bank of America ,,
2/28/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
2/27/2017,Venmo from Jeffrey to Charlie Lucke,Venmo from Jeffrey to Charlie Lucke,15.00,debit,Restaurants,Venmo,,
2/27/2017,Venmo from Jeffrey to Charlie Lucke,Venmo from Jeffrey to Charlie Lucke,3.00,debit,Coffee Shops,Venmo,,
2/27/2017,Venmo from Jeffrey to Christian Lukas,Venmo from Jeffrey to Christian Lukas,8.00,debit,Groceries,Venmo,,
2/25/2017,Venmo from Jeffrey to Charlie Lucke,Venmo from Jeffrey to Charlie Lucke,15.00,debit,Restaurants,Venmo,,
2/24/2017,Epic: Black Dragon,Epic: Black Dragon,1.25,debit,Epic Meal,Bank of America ,,
2/24/2017,Epic: Cassiopeia,Epic: Cassiopeia,3.5,debit,Epic Meal,Bank of America ,,
2/24/2017,Venmo from Jeffrey to Charlie Lucke,Venmo from Jeffrey to Charlie Lucke,12.00,debit,Movies & DVDs,Venmo,,
2/23/2017,Epic: Cassiopeia,Epic: Cassiopeia,5.5,debit,Epic Meal,Bank of America ,,
2/23/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
2/22/2017,Epic: Black Dragon,Epic: Black Dragon,1,debit,Epic Meal,Bank of America ,,
2/22/2017,Epic: Cassiopeia,Epic: Cassiopeia,4,debit,Epic Meal,Bank of America ,,
2/21/2017,Epic: Black Dragon,Epic: Black Dragon,1.25,debit,Epic Meal,Bank of America ,,
2/21/2017,Epic: Cassiopeia,Epic: Cassiopeia,5.75,debit,Epic Meal,Bank of America ,,
2/21/2017,Epic: Farmers' Market,Epic: Farmers' Market,3.25,debit,Epic Meal,Bank of America ,,
2/20/2017,Epic: Farmers' Market,Epic: Farmers' Market,2.25,debit,Epic Meal,Bank of America ,,
2/20/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
2/20/2017,Epic: Farmers' Market,Epic: Farmers' Market,3.5,debit,Epic Meal,Bank of America ,,
2/17/2017,Epic: King's Cross,Epic: King's Cross,5.75,debit,Epic Meal,Bank of America ,,
2/16/2017,Epic: King's Cross,Epic: King's Cross,4.75,debit,Epic Meal,Bank of America ,,
2/15/2017,Epic: Cassiopeia,Epic: Cassiopeia,3.75,debit,Epic Meal,Bank of America ,,
